Age,Grade Level,Hours on Social Media,Platforms,Device,Reasons,GPA,Affects Performance,Effect Details,Academic Use Frequency,Academic Use Type,Check Frequency,Overall Effect,Would Perform Better,Reduced Usage,Improvement Noted,Life Impact,Likes,Dislikes,Comments
19-21,College/University,Less than 1 hour,"Facebook, Instagram, WhatsApp",Laptop,"News and updates, Educational purposes",2.0-2.5,Not sure,"Causes me to procrastinate, Motivates me through educational content, Helps me with research and study groups",Occasionally,"Sharing academic resources, Joining study groups",Once or twice,Neutral,No,Not sure,Not sure,Mostly positive,Socializing with friends,Improper content,Work not card project southern room allow hospital.
19-21,College/University,More than 6 hours,Instagram,Smartphone,News and updates,3.5-4.0,No,"Helps me with research and study groups, Motivates me through educational content, Distracts me from studying",Always,"Seeking help from peers/experts, Sharing academic resources",Every hour,Mostly positive,Yes,Yes,Not sure,Mostly negative,Wide range of resources,Nothing,Treat focus common interest ask.
16-18,College/University,More than 6 hours,Instagram,Laptop,"Educational purposes, News and updates, Entertainment",3.0-3.5,Yes,Causes me to procrastinate,Occasionally,Watching educational videos,Multiple times per hour,Unsure,Yes,No,Not sure,Unsure,Socializing with friends,Nothing,Least mouth east beat.
19-21,College/University,1-2 hours,Instagram,Smartphone,Professional networking,2.5-3.0,Yes,"Motivates me through educational content, Distracts me from studying, Causes me to procrastinate",Frequently,"Seeking help from peers/experts, Sharing academic resources",Multiple times per hour,Mostly negative,No,Not sure,Yes,Neutral,Educational information,It causes procrastination,Property TV western politics race full Congress.
16-18,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Socializing with friends, Professional networking, Educational purposes",2.0-2.5,No,"Causes me to procrastinate, Distracts me from studying",Frequently,"Watching educational videos, Joining study groups, Seeking help from peers/experts, Sharing academic resources",Once or twice,Unsure,Not sure,Not sure,Yes,Neutral,Socializing with friends,Improper content,Training size girl record arm.
Over 21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Educational purposes, News and updates, Entertainment",3.0-3.5,Yes,"Helps me with research and study groups, Causes me to procrastinate",Occasionally,Joining study groups,Once or twice,Mostly positive,Yes,Yes,Not sure,Neutral,Socializing with friends,Information insecurity and rumors,My see actually than image recognize pretty bring.
19-21,College/University,3-4 hours,"WhatsApp, YouTube",Smartphone,Entertainment,3.5-4.0,No,"Helps me with research and study groups, Motivates me through educational content",Always,Seeking help from peers/experts,Every hour,Mostly negative,No,Not sure,Yes,Mostly positive,Entertainment,Improper content,Run such general worry bag once.
16-18,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Professional networking, News and updates, Educational purposes",3.0-3.5,No,"Causes me to procrastinate, Distracts me from studying, Helps me with research and study groups",Frequently,"Participating in online discussions, Seeking help from peers/experts",Once or twice,Neutral,Not sure,Yes,No,Unsure,Awareness,Addiction,Gas give low.
16-18,College/University,Less than 1 hour,"Instagram, WhatsApp",Smartphone,Entertainment,3.0-3.5,Yes,"Distracts me from studying, Causes me to procrastinate",Occasionally,"Seeking help from peers/experts, Sharing academic resources, Joining study groups, Watching educational videos",Once or twice,Unsure,No,No,No,Mostly negative,Entertainment,It causes procrastination,Police against us citizen nor rest international.
Over 21,College/University,Less than 1 hour,"WhatsApp, YouTube",Tablet,"Educational purposes, Socializing with friends, News and updates",2.5-3.0,Yes,Motivates me through educational content,Occasionally,Watching educational videos,Multiple times per hour,Mostly negative,No,Not sure,No,Neutral,Educational information,Distraction,Rock on before.
16-18,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Laptop,"Entertainment, Educational purposes, Socializing with friends",3.0-3.5,No,Helps me with research and study groups,Frequently,"Seeking help from peers/experts, Joining study groups, Participating in online discussions",Every hour,Neutral,Not sure,Yes,Yes,Mostly positive,Awareness,It causes procrastination,Measure military seven save happy total.
Over 21,College/University,3-4 hours,Instagram,Laptop,"Socializing with friends, Professional networking, News and updates",2.5-3.0,Yes,"Motivates me through educational content, Helps me with research and study groups, Causes me to procrastinate",Frequently,"Sharing academic resources, Watching educational videos, Joining study groups, Seeking help from peers/experts",Multiple times per hour,Unsure,Not sure,Yes,No,Neutral,It connects the whole world,Improper content,Enjoy ten start child view seek.
19-21,College/University,1-2 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Professional networking, Educational purposes",3.5-4.0,Yes,"Motivates me through educational content, Distracts me from studying, Helps me with research and study groups",Always,"Participating in online discussions, Seeking help from peers/experts, Watching educational videos, Joining study groups",Every hour,Neutral,No,Not sure,Yes,Neutral,Socializing with friends,Nothing,Main what who trouble response reflect hard successful.
16-18,College/University,Less than 1 hour,Instagram,Smartphone,"Socializing with friends, Educational purposes, Professional networking",2.5-3.0,Yes,"Causes me to procrastinate, Distracts me from studying",Occasionally,"Watching educational videos, Participating in online discussions, Seeking help from peers/experts",Once or twice,Unsure,Not sure,Not sure,Not sure,Mostly positive,Wide range of resources,It causes procrastination,Win suffer fear.
19-21,College/University,Less than 1 hour,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,Socializing with friends,3.0-3.5,Yes,Distracts me from studying,Always,"Watching educational videos, Participating in online discussions, Joining study groups",Every hour,Mostly positive,No,Not sure,Not sure,Unsure,Wide range of resources,Information insecurity and rumors,Full approach environment mind rather range recently.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Smartphone,Professional networking,3.0-3.5,Yes,Causes me to procrastinate,Always,"Joining study groups, Sharing academic resources, Participating in online discussions",Every hour,Neutral,Yes,No,No,Mostly negative,Wide range of resources,Improper content,Certainly believe range however television.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,News and updates,3.5-4.0,No,"Helps me with research and study groups, Motivates me through educational content",Always,"Sharing academic resources, Participating in online discussions, Watching educational videos, Joining study groups",Multiple times per hour,Neutral,Yes,Not sure,Not sure,Mostly negative,Wide range of resources,Information insecurity and rumors,Become phone summer always.
19-21,College/University,3-4 hours,"WhatsApp, YouTube",Smartphone,Professional networking,2.5-3.0,Yes,"Motivates me through educational content, Helps me with research and study groups, Distracts me from studying",Occasionally,Watching educational videos,Every hour,Mostly negative,Yes,Not sure,No,Unsure,Entertainment,Nothing,Newspaper event ago authority develop.
19-21,College/University,Less than 1 hour,"Instagram, WhatsApp",Smartphone,"News and updates, Professional networking, Educational purposes",2.5-3.0,Yes,"Distracts me from studying, Helps me with research and study groups",Always,"Joining study groups, Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Every hour,Mostly negative,Yes,No,No,Mostly positive,It connects the whole world,Addiction,Represent family itself wish under reason inside.
Over 21,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,Educational purposes,2.0-2.5,Yes,Motivates me through educational content,Frequently,"Participating in online discussions, Joining study groups, Seeking help from peers/experts",Multiple times per hour,Mostly negative,Not sure,Not sure,No,Mostly negative,Wide range of resources,Nothing,Those myself seat situation pretty.
Over 21,College/University,5-6 hours,Instagram,Smartphone,"News and updates, Entertainment",3.5-4.0,No,Causes me to procrastinate,Occasionally,"Seeking help from peers/experts, Participating in online discussions, Watching educational videos",Once or twice,Unsure,Yes,No,No,Unsure,Educational information,Information insecurity and rumors,Huge paper nation agent street.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Socializing with friends, Professional networking",3.0-3.5,Not sure,"Helps me with research and study groups, Causes me to procrastinate",Frequently,Seeking help from peers/experts,Once or twice,Neutral,Not sure,Not sure,Not sure,Mostly positive,Entertainment,It causes procrastination,Of early born kind almost rule.
19-21,College/University,1-2 hours,"Instagram, WhatsApp",Smartphone,"Professional networking, Educational purposes",2.0-2.5,Yes,Causes me to procrastinate,Frequently,"Joining study groups, Participating in online discussions",Once or twice,Neutral,Yes,Yes,Not sure,Unsure,Entertainment,Information insecurity and rumors,Network plan baby example help today federal evening.
19-21,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Educational purposes, Professional networking",2.0-2.5,Yes,Causes me to procrastinate,Occasionally,"Participating in online discussions, Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Every hour,Neutral,Not sure,Not sure,Not sure,Unsure,Socializing with friends,It causes procrastination,Agreement carry Mrs west those.
19-21,College/University,5-6 hours,"Instagram, WhatsApp",Smartphone,"Professional networking, Socializing with friends, Entertainment",3.5-4.0,No,Distracts me from studying,Always,"Watching educational videos, Seeking help from peers/experts",Every hour,Neutral,Not sure,Yes,No,Unsure,Wide range of resources,Addiction,Impact former arrive risk down.
19-21,College/University,3-4 hours,YouTube,Smartphone,"Entertainment, Socializing with friends, Educational purposes",3.5-4.0,Yes,"Causes me to procrastinate, Distracts me from studying",Occasionally,Sharing academic resources,Every hour,Neutral,Yes,No,Not sure,Unsure,Wide range of resources,Addiction,Tell past game challenge dinner.
19-21,College/University,3-4 hours,"Instagram, WhatsApp",Smartphone,"Educational purposes, Entertainment, News and updates",3.0-3.5,Yes,Helps me with research and study groups,Frequently,"Seeking help from peers/experts, Participating in online discussions, Sharing academic resources, Watching educational videos",Once or twice,Mostly positive,Yes,No,Yes,Unsure,Entertainment,It causes procrastination,Financial foot thing doctor attack someone.
19-21,College/University,1-2 hours,Instagram,Laptop,"Entertainment, News and updates",3.5-4.0,Yes,"Helps me with research and study groups, Motivates me through educational content",Always,"Joining study groups, Watching educational videos",Multiple times per hour,Neutral,Not sure,Yes,Yes,Mostly negative,Socializing with friends,It causes procrastination,Box city present myself enjoy travel.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,Socializing with friends,2.0-2.5,Yes,Causes me to procrastinate,Occasionally,"Joining study groups, Sharing academic resources",Multiple times per hour,Mostly positive,No,Yes,Yes,Unsure,Wide range of resources,Information insecurity and rumors,Bank fast station space personal.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,News and updates,3.0-3.5,Yes,Distracts me from studying,Always,Watching educational videos,Once or twice,Mostly positive,Yes,Not sure,No,Mostly positive,Wide range of resources,Addiction,Task everyone opportunity pretty.
19-21,College/University,1-2 hours,"WhatsApp, YouTube",Smartphone,News and updates,3.5-4.0,Yes,"Distracts me from studying, Helps me with research and study groups, Causes me to procrastinate",Occasionally,"Joining study groups, Seeking help from peers/experts",Multiple times per hour,Mostly negative,No,No,No,Mostly positive,It connects the whole world,It causes procrastination,Our listen great follow place since per tend.
16-18,College/University,3-4 hours,"WhatsApp, YouTube",Laptop,Socializing with friends,3.5-4.0,Yes,"Distracts me from studying, Causes me to procrastinate",Occasionally,"Watching educational videos, Sharing academic resources, Seeking help from peers/experts",Every hour,Neutral,Not sure,No,Not sure,Mostly positive,Entertainment,It causes procrastination,Information citizen international matter stay.
Over 21,College/University,1-2 hours,"WhatsApp, YouTube",Tablet,"Socializing with friends, Educational purposes, Entertainment",3.0-3.5,Yes,"Helps me with research and study groups, Causes me to procrastinate",Occasionally,"Participating in online discussions, Seeking help from peers/experts",Multiple times per hour,Unsure,No,Yes,Not sure,Neutral,Awareness,Distraction,You feel education according.
16-18,College/University,More than 6 hours,"Facebook, Instagram, WhatsApp",Smartphone,Professional networking,2.0-2.5,Yes,"Distracts me from studying, Motivates me through educational content",Occasionally,"Sharing academic resources, Seeking help from peers/experts",Multiple times per hour,Neutral,Not sure,Yes,Not sure,Unsure,Entertainment,Addiction,Debate reduce however difference clearly catch have.
16-18,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Smartphone,"News and updates, Socializing with friends",3.5-4.0,Yes,"Helps me with research and study groups, Distracts me from studying, Motivates me through educational content",Always,"Participating in online discussions, Joining study groups, Watching educational videos",Every hour,Mostly negative,Yes,No,No,Unsure,Wide range of resources,Nothing,Coach pay behavior again apply despite moment.
19-21,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Professional networking, Educational purposes",2.5-3.0,Yes,"Causes me to procrastinate, Helps me with research and study groups, Distracts me from studying",Occasionally,"Participating in online discussions, Seeking help from peers/experts",Once or twice,Unsure,Yes,Yes,No,Mostly negative,It connects the whole world,Distraction,What pressure one election.
19-21,College/University,3-4 hours,"WhatsApp, YouTube",Smartphone,"Educational purposes, News and updates, Entertainment",3.0-3.5,No,"Motivates me through educational content, Causes me to procrastinate",Always,Watching educational videos,Every hour,Mostly negative,Not sure,Not sure,Yes,Neutral,Entertainment,Addiction,General serious security.
19-21,College/University,1-2 hours,Instagram,Laptop,"Socializing with friends, Professional networking",2.0-2.5,Yes,"Motivates me through educational content, Distracts me from studying, Causes me to procrastinate",Occasionally,"Sharing academic resources, Seeking help from peers/experts, Watching educational videos, Joining study groups",Multiple times per hour,Mostly positive,No,Yes,Yes,Mostly positive,Socializing with friends,It causes procrastination,Edge condition our speak thank serious.
19-21,College/University,5-6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Educational purposes, News and updates",3.0-3.5,Yes,"Motivates me through educational content, Distracts me from studying",Occasionally,"Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Every hour,Mostly positive,Yes,Not sure,Yes,Mostly positive,Educational information,Distraction,Support air including operation baby.
19-21,College/University,1-2 hours,"Instagram, WhatsApp",Smartphone,"Professional networking, Entertainment",3.5-4.0,No,"Causes me to procrastinate, Motivates me through educational content, Helps me with research and study groups",Always,"Joining study groups, Seeking help from peers/experts, Watching educational videos",Every hour,Neutral,Yes,Yes,No,Mostly negative,It connects the whole world,Improper content,Hear bed themselves various head.
19-21,College/University,5-6 hours,"Instagram, WhatsApp",Laptop,"Entertainment, Professional networking, News and updates",2.5-3.0,No,"Distracts me from studying, Motivates me through educational content, Helps me with research and study groups",Frequently,"Watching educational videos, Seeking help from peers/experts, Sharing academic resources",Multiple times per hour,Unsure,No,No,No,Mostly negative,It connects the whole world,Distraction,Avoid guess car find.
19-21,College/University,3-4 hours,Instagram,Smartphone,News and updates,2.5-3.0,Yes,"Motivates me through educational content, Distracts me from studying",Occasionally,Joining study groups,Every hour,Mostly negative,Yes,Yes,Not sure,Unsure,Socializing with friends,Addiction,Movie company avoid black.
19-21,College/University,3-4 hours,"Instagram, WhatsApp",Smartphone,"Entertainment, Professional networking",3.0-3.5,No,Motivates me through educational content,Occasionally,"Seeking help from peers/experts, Sharing academic resources",Multiple times per hour,Mostly positive,Not sure,No,No,Unsure,It connects the whole world,Distraction,Daughter become six decision.
19-21,College/University,1-2 hours,"WhatsApp, YouTube",Smartphone,"Educational purposes, Socializing with friends, Entertainment",2.0-2.5,Yes,Helps me with research and study groups,Occasionally,"Sharing academic resources, Watching educational videos",Multiple times per hour,Mostly positive,Not sure,Yes,Yes,Neutral,Wide range of resources,Distraction,Address none agent we particularly piece college no.
19-21,College/University,3-4 hours,Instagram,Smartphone,"News and updates, Entertainment",2.5-3.0,Yes,"Helps me with research and study groups, Causes me to procrastinate",Frequently,Sharing academic resources,Once or twice,Mostly positive,No,Yes,No,Neutral,Entertainment,It causes procrastination,Sister often voice southern read always economy.
19-21,College/University,5-6 hours,"Instagram, WhatsApp",Smartphone,"Socializing with friends, News and updates",3.5-4.0,Yes,Distracts me from studying,Frequently,"Joining study groups, Watching educational videos, Participating in online discussions",Once or twice,Mostly negative,Not sure,No,Not sure,Mostly negative,Awareness,Nothing,Couple other another him resource between.
19-21,College/University,Less than 1 hour,"Instagram, Snapchat, WhatsApp",Tablet,"Educational purposes, Entertainment, Socializing with friends",3.0-3.5,Yes,Causes me to procrastinate,Frequently,"Seeking help from peers/experts, Participating in online discussions, Joining study groups",Once or twice,Neutral,Not sure,Not sure,Not sure,Unsure,Educational information,Improper content,Out yourself soon push present Democrat evening.
Over 21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Educational purposes, Entertainment",2.5-3.0,Yes,"Distracts me from studying, Causes me to procrastinate",Frequently,"Sharing academic resources, Joining study groups",Every hour,Unsure,Yes,Yes,Not sure,Mostly positive,It connects the whole world,Nothing,Finish sport model act.
19-21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,"Socializing with friends, News and updates, Entertainment",3.5-4.0,Yes,"Helps me with research and study groups, Motivates me through educational content, Distracts me from studying",Frequently,"Seeking help from peers/experts, Watching educational videos, Joining study groups",Multiple times per hour,Mostly positive,Not sure,Not sure,Not sure,Mostly negative,Wide range of resources,Information insecurity and rumors,Attack wife treat board.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Laptop,Educational purposes,2.5-3.0,Yes,"Distracts me from studying, Helps me with research and study groups, Causes me to procrastinate",Always,"Seeking help from peers/experts, Sharing academic resources, Joining study groups, Watching educational videos",Multiple times per hour,Neutral,No,Not sure,Not sure,Mostly negative,Entertainment,Addiction,Trip hold conference company ground level.
16-18,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Entertainment, Socializing with friends",3.0-3.5,Yes,Helps me with research and study groups,Frequently,"Joining study groups, Watching educational videos, Seeking help from peers/experts",Every hour,Mostly negative,Not sure,No,Not sure,Neutral,Awareness,Distraction,Police quality decide discover college while.
16-18,College/University,1-2 hours,"Instagram, WhatsApp",Smartphone,"Educational purposes, Socializing with friends, Professional networking",2.5-3.0,Yes,"Distracts me from studying, Helps me with research and study groups, Motivates me through educational content",Always,"Watching educational videos, Seeking help from peers/experts",Once or twice,Unsure,No,Not sure,No,Mostly negative,Educational information,Distraction,Involve media across deal.
Over 21,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,Socializing with friends,3.5-4.0,Yes,"Helps me with research and study groups, Distracts me from studying, Motivates me through educational content",Frequently,"Seeking help from peers/experts, Sharing academic resources, Joining study groups",Every hour,Mostly positive,Yes,Yes,Not sure,Unsure,Wide range of resources,It causes procrastination,Traditional owner begin change enter everyone.
19-21,College/University,3-4 hours,"Instagram, WhatsApp",Smartphone,"Educational purposes, Professional networking",3.0-3.5,Yes,"Motivates me through educational content, Causes me to procrastinate, Distracts me from studying",Always,"Watching educational videos, Joining study groups",Once or twice,Neutral,No,Not sure,Not sure,Unsure,Entertainment,Improper content,Kitchen learn give key create professional control.
16-18,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,"News and updates, Socializing with friends",3.0-3.5,Yes,"Helps me with research and study groups, Motivates me through educational content, Causes me to procrastinate",Occasionally,"Watching educational videos, Joining study groups",Multiple times per hour,Unsure,No,Yes,No,Neutral,Entertainment,Distraction,Research inside talk nation whole partner watch.
16-18,College/University,1-2 hours,"Instagram, WhatsApp",Smartphone,"Professional networking, Educational purposes",3.0-3.5,No,"Distracts me from studying, Helps me with research and study groups, Motivates me through educational content",Always,Seeking help from peers/experts,Once or twice,Unsure,No,Yes,Not sure,Unsure,Socializing with friends,It causes procrastination,Case whatever rich pick too.
19-21,College/University,5-6 hours,Instagram,Laptop,"Educational purposes, Professional networking",2.5-3.0,No,Motivates me through educational content,Always,"Sharing academic resources, Seeking help from peers/experts",Every hour,Unsure,Yes,No,Yes,Mostly positive,Entertainment,Information insecurity and rumors,Stage despite career likely paper lay.
19-21,College/University,5-6 hours,"Facebook, Instagram, WhatsApp",Smartphone,Entertainment,3.5-4.0,Yes,Helps me with research and study groups,Always,"Watching educational videos, Sharing academic resources, Joining study groups, Participating in online discussions",Multiple times per hour,Neutral,Not sure,Not sure,Yes,Mostly positive,Awareness,Distraction,Star information job feeling.
19-21,College/University,More than 6 hours,"WhatsApp, YouTube",Laptop,Professional networking,3.0-3.5,Not sure,"Motivates me through educational content, Distracts me from studying",Frequently,"Joining study groups, Seeking help from peers/experts, Participating in online discussions, Watching educational videos",Once or twice,Unsure,Yes,Yes,Yes,Neutral,Socializing with friends,Distraction,Kid us force peace.
19-21,College/University,5-6 hours,"WhatsApp, YouTube",Smartphone,"Educational purposes, News and updates",3.0-3.5,Yes,"Helps me with research and study groups, Motivates me through educational content",Always,"Participating in online discussions, Joining study groups, Sharing academic resources",Every hour,Mostly positive,Yes,Yes,Not sure,Mostly positive,Entertainment,Improper content,Condition idea some live pattern notice bed.
16-18,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Professional networking, News and updates, Entertainment",3.0-3.5,Yes,"Motivates me through educational content, Distracts me from studying",Frequently,"Watching educational videos, Participating in online discussions",Every hour,Mostly positive,Not sure,No,No,Neutral,Educational information,Addiction,Economic star production side.
19-21,College/University,5-6 hours,"WhatsApp, YouTube",Laptop,"News and updates, Professional networking",3.5-4.0,Yes,Distracts me from studying,Occasionally,"Sharing academic resources, Participating in online discussions, Watching educational videos, Joining study groups",Once or twice,Unsure,Yes,Not sure,Yes,Neutral,Entertainment,Improper content,Before play center voice lawyer already after experience.
19-21,College/University,5-6 hours,"Instagram, WhatsApp",Laptop,"News and updates, Socializing with friends",2.0-2.5,Yes,"Helps me with research and study groups, Distracts me from studying, Causes me to procrastinate",Always,"Participating in online discussions, Joining study groups, Seeking help from peers/experts",Once or twice,Mostly positive,Yes,Yes,Not sure,Neutral,Entertainment,Nothing,Employee together no ever save manager could.
16-18,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"Professional networking, Entertainment",3.0-3.5,No,Helps me with research and study groups,Frequently,Watching educational videos,Every hour,Unsure,Not sure,Yes,No,Mostly negative,Socializing with friends,Information insecurity and rumors,Than wonder piece woman onto all always budget.
19-21,College/University,1-2 hours,"Instagram, WhatsApp",Smartphone,"Entertainment, Educational purposes",3.5-4.0,Yes,Motivates me through educational content,Always,"Sharing academic resources, Watching educational videos, Joining study groups",Once or twice,Mostly negative,Not sure,No,Not sure,Mostly negative,Educational information,Addiction,Scene place process thus bar two.
16-18,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Educational purposes, Entertainment, News and updates",2.0-2.5,Not sure,"Distracts me from studying, Causes me to procrastinate",Occasionally,"Sharing academic resources, Seeking help from peers/experts, Joining study groups",Multiple times per hour,Mostly positive,No,No,Not sure,Mostly positive,Entertainment,Improper content,Participant though establish site.
16-18,College/University,3-4 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Educational purposes",2.5-3.0,Yes,"Distracts me from studying, Causes me to procrastinate, Motivates me through educational content",Always,Joining study groups,Multiple times per hour,Mostly positive,No,No,Yes,Mostly positive,Entertainment,It causes procrastination,Avoid offer fall economic community lead hospital.
16-18,College/University,Less than 1 hour,"Facebook, Instagram, WhatsApp",Tablet,Professional networking,3.5-4.0,No,"Motivates me through educational content, Causes me to procrastinate, Helps me with research and study groups",Frequently,Seeking help from peers/experts,Once or twice,Unsure,No,No,Not sure,Neutral,Wide range of resources,Improper content,Key positive happen foot decision partner and.
16-18,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,"News and updates, Professional networking, Educational purposes",3.0-3.5,Yes,"Helps me with research and study groups, Causes me to procrastinate",Frequently,"Watching educational videos, Joining study groups",Every hour,Unsure,Not sure,No,Not sure,Neutral,Wide range of resources,Information insecurity and rumors,Article occur debate off table soldier.
19-21,College/University,1-2 hours,"WhatsApp, YouTube",Laptop,News and updates,3.5-4.0,No,"Helps me with research and study groups, Distracts me from studying",Always,Seeking help from peers/experts,Multiple times per hour,Mostly positive,Yes,Not sure,Yes,Unsure,Wide range of resources,Nothing,Unit worry raise.
19-21,College/University,More than 6 hours,YouTube,Smartphone,Educational purposes,2.5-3.0,Yes,"Causes me to procrastinate, Motivates me through educational content, Distracts me from studying",Always,Joining study groups,Every hour,Unsure,Yes,No,No,Mostly positive,Educational information,Improper content,Idea learn generation.
